Open,Close,High,Low,Volume,Date
4.48225,4.49065,4.49065,4.479,,03/05/22
4.35155,4.47545,4.48815,4.35035,,03/04/22
4.26945,4.35215,4.35845,4.26635,,03/03/22
4.26675,4.27375,4.35465,4.25615,,03/02/22
4.18835,4.27145,4.31165,4.16735,,03/01/22
4.11055,4.18755,4.22265,4.11055,,02/28/22
4.1139,4.1139,4.1139,4.1139,,02/27/22
4.1139,4.1139,4.1139,4.1139,,02/26/22
4.13555,4.11055,4.18095,4.10405,,02/25/22
4.05765,4.13595,4.24425,4.05655,,02/24/22
4.01475,4.05785,4.05825,3.98815,,02/23/22
4.01825,4.01485,4.03385,3.99485,,02/22/22
4.00055,4.01565,4.01825,3.96165,,02/21/22
4.0006,4.00095,4.00585,3.99455,,02/20/22
4.0006,4.0006,4.00065,4.0006,,02/19/22
3.98125,4.00055,4.01055,3.96735,,02/18/22
3.95765,3.98045,3.98815,3.94785,,02/17/22
3.95945,3.95495,3.96725,3.93795,,02/16/22
4.03105,3.96035,4.03335,3.95305,,02/15/22
4.02765,4.02815,4.05435,3.99845,,02/14/22
4.02165,4.02165,4.02165,4.02165,,02/13/22
4.02695,4.02155,4.02745,4.01385,,02/12/22
3.94305,4.02765,4.03905,3.94235,,02/11/22
3.93445,3.94135,3.96015,3.91085,,02/10/22
3.96745,3.93565,3.96895,3.92555,,02/09/22
3.96425,3.96755,3.98395,3.95895,,02/08/22
3.98795,3.96345,3.99525,3.96245,,02/07/22
3.98735,3.98735,3.98735,3.98735,,02/06/22
3.98735,3.98735,3.98735,3.98735,,02/05/22
3.96855,3.98795,3.99995,3.95575,,02/04/22
4.01775,3.97035,4.02875,3.95685,,02/03/22
4.05505,4.01845,4.05725,4.00925,,02/02/22
4.07955,4.05455,4.08525,4.05125,,02/01/22
4.11135,4.07815,4.12295,4.07485,,01/31/22
4.11045,4.1142,4.1188,4.11045,,01/30/22
4.11045,4.11045,4.11045,4.11045,,01/29/22
4.08955,4.11135,4.12475,4.08855,,01/28/22
4.07825,4.08925,4.10505,4.07685,,01/27/22
4.05365,4.07805,4.08415,4.05005,,01/26/22
4.03125,4.05525,4.07765,4.02975,,01/25/22
3.99385,4.03095,4.04825,3.99235,,01/24/22
3.99405,3.99405,3.99405,3.99405,,01/23/22
3.99405,3.99405,3.99405,3.99405,,01/22/22
3.99925,3.99385,4.01025,3.97445,,01/21/22
3.98905,3.99855,4.00495,3.96965,,01/20/22
4.00385,3.98965,4.01455,3.98175,,01/19/22
3.96795,4.00475,4.00965,3.95935,,01/18/22
3.97395,3.96695,3.98185,3.95415,,01/17/22
3.97605,3.97275,3.97605,3.97265,,01/16/22
3.97605,3.97605,3.97605,3.97605,,01/15/22
3.96335,3.97395,3.98185,3.95105,,01/14/22
3.95505,3.96435,3.96615,3.94275,,01/13/22
3.99145,3.95385,4.00005,3.95005,,01/12/22
4.00835,3.99145,4.01495,3.98945,,01/11/22
4.00045,4.00895,4.02225,3.99645,,01/10/22
4.00055,4.00165,4.00585,4.00055,,01/09/22
4.0009,4.00055,4.0023,4.00055,,01/08/22
4.03275,4.00045,4.03555,3.99835,,01/07/22
4.04335,4.03305,4.05915,4.01815,,01/06/22
4.04455,4.04335,4.04765,4.02505,,01/05/22
4.05025,4.04535,4.06155,4.03245,,01/04/22
4.03105,4.05225,4.05795,4.03105,,01/03/22
4.0362,4.0356,4.04045,4.0335,,01/02/22
4.0362,4.0362,4.0362,4.0362,,01/01/22
4.05865,4.03105,4.06245,4.02895,,12/31/21
4.05295,4.05845,4.06985,4.04765,,12/30/21
4.06705,4.05395,4.08295,4.04435,,12/29/21
4.07235,4.06695,4.07285,4.05425,,12/28/21
4.08075,4.07225,4.09225,4.05855,,12/27/21
4.0808,4.0866,4.08705,4.0765,,12/26/21
4.0808,4.0808,4.0808,4.0808,,12/25/21
4.08855,4.08075,4.09295,4.07275,,12/24/21
4.08995,4.08715,4.10045,4.08265,,12/23/21
4.09805,4.08945,4.10775,4.08225,,12/22/21
4.10505,4.09845,4.10705,4.08705,,12/21/21
4.11945,4.10465,4.12455,4.09565,,12/20/21
4.12125,4.12245,4.12455,4.1194,,12/19/21
4.12045,4.1212,4.1212,4.11865,,12/18/21
4.08855,4.11945,4.12525,4.07915,,12/17/21
4.09425,4.08795,4.10335,4.07835,,12/16/21
4.11205,4.09285,4.12525,4.08685,,12/15/21
4.11035,4.11435,4.11865,4.08965,,12/14/21
4.08015,4.11215,4.11605,4.08015,,12/13/21
4.0812,4.0812,4.0812,4.0812,,12/12/21
4.0813,4.0812,4.0813,4.0808,,12/11/21
4.07805,4.08015,4.10125,4.07255,,12/10/21
4.06615,4.07885,4.08835,4.06115,,12/09/21
4.06645,4.06645,4.07735,4.05025,,12/08/21
4.07255,4.06675,4.09295,4.06305,,12/07/21
4.06465,4.07255,4.08225,4.05425,,12/06/21
4.06395,4.06575,4.0677,4.0627,,12/05/21
4.06485,4.0638,4.06485,4.0584,,12/04/21
4.06945,4.06465,4.09305,4.05155,,12/03/21
4.08545,4.07045,4.08685,4.04775,,12/02/21
4.10795,4.08575,4.11845,4.06455,,12/01/21
4.15045,4.10775,4.15045,4.09725,,11/30/21
4.16365,4.14965,4.17735,4.14445,,11/29/21
4.163,4.1666,4.1676,4.16115,,11/28/21
4.163,4.163,4.163,4.163,,11/27/21
4.17485,4.16365,4.19225,4.15545,,11/26/21
4.17875,4.17355,4.17915,4.15645,,11/25/21
4.18285,4.17755,4.18865,4.15675,,11/24/21
4.18965,4.18275,4.20055,4.17265,,11/23/21
4.16185,4.18965,4.19455,4.15585,,11/22/21
4.16415,4.1589,4.16415,4.1545,,11/21/21
4.16415,4.16415,4.16415,4.16415,,11/20/21
4.10355,4.16185,4.16775,4.10095,,11/19/21
4.11765,4.10725,4.12035,4.09985,,11/18/21
4.10845,4.11775,4.13455,4.10535,,11/17/21
4.08155,4.11075,4.11645,4.07525,,11/16/21
4.05485,4.08145,4.08735,4.03755,,11/15/21
4.05325,4.0552,4.0556,4.05085,,11/14/21
4.05445,4.05325,4.05445,4.0532,,11/13/21
4.04905,4.05485,4.06415,4.04125,,11/12/21
4.01605,4.04965,4.05245,4.00955,,11/11/21
3.96085,4.01585,4.02135,3.96065,,11/10/21
3.96315,3.96015,3.97215,3.95305,,11/09/21
3.97485,3.96295,3.98095,3.95555,,11/08/21
3.97515,3.97745,3.98325,3.97515,,11/07/21
3.97515,3.97515,3.97515,3.97515,,11/06/21
3.98435,3.97485,4.00795,3.97235,,11/05/21
3.94775,3.98305,3.99455,3.94465,,11/04/21
3.97865,3.94775,3.97975,3.94465,,11/03/21
3.97965,3.97905,3.98625,3.96505,,11/02/21
3.98745,3.97885,3.99905,3.97515,,11/01/21
3.98725,3.989,3.99325,3.98725,,10/31/21
3.98725,3.98725,3.98725,3.98725,,10/30/21
3.95785,3.98745,3.99865,3.95455,,10/29/21
3.98065,3.95705,3.99775,3.95115,,10/28/21
3.97475,3.98065,3.98875,3.96845,,10/27/21
3.97325,3.97445,3.98465,3.95585,,10/26/21
3.95285,3.97435,3.98435,3.93675,,10/25/21
3.95365,3.95165,3.955,3.95095,,10/24/21
3.95365,3.95365,3.95365,3.95365,,10/23/21
3.96025,3.95285,3.96415,3.94855,,10/22/21
3.93655,3.96095,3.96525,3.92765,,10/21/21
3.94085,3.93695,3.95205,3.93035,,10/20/21
3.94655,3.94045,3.95105,3.91895,,10/19/21
3.93965,3.94675,3.96055,3.93465,,10/18/21
3.93895,3.9319,3.93945,3.93185,,10/17/21
3.93895,3.93895,3.93895,3.93895,,10/16/21
3.93905,3.93965,3.95125,3.92835,,10/15/21
3.94835,3.93975,3.95155,3.93145,,10/14/21
3.97555,3.94865,3.97725,3.94155,,10/13/21
3.96975,3.97515,3.97645,3.96065,,10/12/21
3.97735,3.97105,3.99545,3.95965,,10/11/21
3.97645,3.97915,3.9853,3.97645,,10/10/21
3.97735,3.97635,3.97735,3.97575,,10/09/21
3.96935,3.97735,3.99885,3.96665,,10/08/21
3.93685,3.97005,3.97105,3.92825,,10/07/21
3.97135,3.93725,4.00605,3.93405,,10/06/21
3.95365,3.97255,3.98445,3.94705,,10/05/21
3.95045,3.95425,3.95755,3.92255,,10/04/21
3.95025,3.94635,3.95025,3.94505,,10/03/21
3.95025,3.95025,3.95025,3.95025,,10/02/21
3.98085,3.95045,3.99005,3.94265,,10/01/21
3.99435,3.98085,4.01745,3.95805,,09/30/21
3.96735,3.99535,3.99835,3.95965,,09/29/21
3.93125,3.96695,3.97445,3.92845,,09/28/21
3.92985,3.93165,3.93685,3.92115,,09/27/21
3.9294,3.93135,3.93215,3.92835,,09/26/21
3.9294,3.9294,3.9294,3.9294,,09/25/21
3.92835,3.92985,3.94065,3.92345,,09/24/21
3.95425,3.92685,3.95465,3.91905,,09/23/21
3.94025,3.95435,3.95905,3.92955,,09/22/21
3.92765,3.94035,3.94735,3.91955,,09/21/21
3.91625,3.92775,3.93355,3.91315,,09/20/21
3.91595,3.91235,3.91595,3.9099,,09/19/21
3.91595,3.91595,3.91595,3.91595,,09/18/21
3.88575,3.91625,3.91835,3.88325,,09/17/21
3.86325,3.88485,3.90015,3.85905,,09/16/21
3.85025,3.86185,3.86905,3.84455,,09/15/21
3.85205,3.85065,3.86155,3.84085,,09/14/21
3.84715,3.85255,3.86575,3.84715,,09/13/21
3.8471,3.846,3.8471,3.84385,,09/12/21
3.8471,3.8471,3.8471,3.8471,,09/11/21
3.84145,3.84715,3.85155,3.83545,,09/10/21
3.82265,3.84075,3.85145,3.81745,,09/09/21
3.80995,3.82305,3.82915,3.80605,,09/08/21
3.81055,3.80835,3.81805,3.80205,,09/07/21
3.79525,3.81075,3.81695,3.79305,,09/06/21
3.79405,3.79405,3.79455,3.79135,,09/05/21
3.79405,3.79405,3.79405,3.79405,,09/04/21
3.79955,3.79525,3.80635,3.78645,,09/03/21
3.80575,3.80055,3.81325,3.79825,,09/02/21
3.83045,3.80675,3.83895,3.79705,,09/01/21
3.86525,3.83095,3.86615,3.81785,,08/31/21
3.87915,3.86525,3.88315,3.86085,,08/30/21
3.87995,3.87875,3.88025,3.87745,,08/29/21
3.87995,3.87995,3.87995,3.87995,,08/28/21
3.89145,3.87915,3.90115,3.86755,,08/27/21
3.88675,3.89105,3.89605,3.87995,,08/26/21
3.89205,3.88735,3.90495,3.88275,,08/25/21
3.90215,3.89215,3.91145,3.88525,,08/24/21
3.91975,3.90235,3.91975,3.89915,,08/23/21
3.91685,3.91215,3.92095,3.9107,,08/22/21
3.91705,3.91685,3.91905,3.91685,,08/21/21
3.92595,3.91975,3.93615,3.91495,,08/20/21
3.88965,3.92515,3.93065,3.88785,,08/19/21
3.89755,3.88965,3.90175,3.87835,,08/18/21
3.87305,3.89755,3.90125,3.86935,,08/17/21
3.87255,3.87375,3.88085,3.86755,,08/16/21
3.8723,3.871,3.8723,3.8698,,08/15/21
3.8723,3.8723,3.8723,3.8723,,08/14/21
3.90095,3.87255,3.90195,3.86745,,08/13/21
3.90065,3.90155,3.91365,3.89385,,08/12/21
3.90425,3.90055,3.92175,3.89285,,08/11/21
3.88885,3.90835,3.91045,3.88225,,08/10/21
3.88875,3.88915,3.89825,3.87775,,08/09/21
3.88845,3.8903,3.89095,3.88705,,08/08/21
3.88845,3.88845,3.88845,3.88845,,08/07/21
3.83715,3.88875,3.89225,3.83685,,08/06/21
3.83785,3.83805,3.85605,3.83345,,08/05/21
3.83815,3.83955,3.84495,3.81045,,08/04/21
3.84195,3.83835,3.84465,3.82715,,08/03/21
3.84895,3.84165,3.85255,3.82885,,08/02/21
3.84875,3.84845,3.84895,3.84555,,08/01/21
3.84875,3.84875,3.84875,3.84875,,07/31/21
3.84405,3.84895,3.85765,3.83155,,07/30/21
3.87825,3.84395,3.88335,3.84115,,07/29/21
